transaction_id,customer_id,timestamp,amount_eur,currency,channel,card_present,merchant_category,merchant_name,transaction_country,transaction_city,device_id,device_fingerprint,ip_address,auth_method,auth_success,txn_count_last_1h,txn_count_last_24h,txn_amount_last_24h,response_time_ms,is_fraud,fraud_type,age,monthly_income_eur,credit_score,is_synthetic_identity,is_mule_account,kyc_verified,account_type,zone,account_open_date,date,hour,day_of_week,month,year,is_foreign,is_unknown_device,fraud_label,card_presence,fraud_type_clean,amount_bucket
TXN00000001,CUS000906,2024-12-03 01:55:32,1404.14,EUR,online,0,travel,Poste Italiane ATM,IT,Roma,DEV0003621,df5284390698f54b,93.36.52.229,biometric,1,1,3,6741.33,313,0,legitimate,45,1809.66,746,0,0,1,savings,Nomentano,2019-08-27,2024-12-03,1,Tuesday,2024-12,2024,0,0,Legitimate,Card Not Present,Legitimate,1K-5K
TXN00000002,CUS000012,2025-12-27 06:23:45,146.14,EUR,mobile_app,0,utility_bill,Zalando.it,IT,Roma,DEV0000046,6da1736052fa8b7b,93.48.194.34,pin,1,1,2,582.99,69,0,legitimate,22,5523.4,697,0,0,1,checking,Prati,2020-07-09,2025-12-27,6,Saturday,2025-12,2025,0,0,Legitimate,Card Not Present,Legitimate,50-200
TXN00000003,CUS000193,2024-09-10 21:51:44,5204.41,EUR,mobile_app,0,crypto_exchange,Unieuro Porta di Roma,IT,Roma,DEV0000770,67fbd4216c5b70b6,93.34.227.109,biometric,1,0,4,36320.97,509,0,legitimate,60,4570.83,726,0,0,1,checking,Nomentano,2021-05-03,2024-09-10,21,Tuesday,2024-09,2024,0,0,Legitimate,Card Not Present,Legitimate,5K+
TXN00000004,CUS001030,2024-07-08 17:09:35,1315.92,EUR,mobile_app,0,crypto_exchange,Conad Trastevere,IT,Roma,DEV0004117,258a5600f64d4ee1,74.227.84.120,pin,1,1,3,4988.93,594,0,legitimate,35,1511.58,821,0,0,1,business,Esquilino,2021-07-30,2024-07-08,17,Monday,2024-07,2024,0,0,Legitimate,Card Not Present,Legitimate,1K-5K
TXN00000005,CUS000069,2025-06-21 17:17:12,78.77,EUR,online,0,pharmacy,Amazon.it,IT,Roma,DEV0000275,6502b6c2439827f0,93.41.49.246,pin,1,0,3,290.62,232,0,legitimate,34,1503.73,787,0,0,1,checking,Nomentano,2020-11-19,2025-06-21,17,Saturday,2025-06,2025,0,0,Legitimate,Card Not Present,Legitimate,50-200
TXN00000006,CUS000981,2024-10-02 17:34:49,34.0,EUR,online,0,subscription,Carrefour EUR,IT,Roma,DEV0003921,d4cdca15e3d03344,93.33.146.156,otp,1,0,8,281.35,254,0,legitimate,26,5728.85,764,0,0,1,savings,Testaccio,2023-03-20,2024-10-02,17,Wednesday,2024-10,2024,0,0,Legitimate,Card Not Present,Legitimate,0-50
TXN00000007,CUS000562,2024-12-07 19:27:56,469.46,EUR,online,0,transfer,Carrefour EUR,IT,Roma,UNKNOWN,102fb0f2664ae715,211.29.166.207,otp,1,2,4,372.77,777,1,phishing_ato,32,7697.45,724,0,0,1,checking,Tor Vergata,2021-08-16,2024-12-07,19,Saturday,2024-12,2024,0,1,Fraud,Card Not Present,Phishing Ato,200-500
TXN00000008,CUS001768,2025-05-08 02:04:05,191.25,EUR,pos_terminal,1,clothing,Spotify,IT,Roma,DEV0007070,0f869433cd82dc23,93.42.10.54,none,1,1,6,1959.87,163,0,legitimate,48,1214.8,684,0,0,1,checking,Ostiense,2018-07-12,2025-05-08,2,Thursday,2025-05,2025,0,0,Legitimate,Card Present,Legitimate,50-200
TXN00000009,CUS001005,2025-01-10 22:57:01,70.43,EUR,pos_terminal,1,gas_station,Spotify,IT,Roma,DEV0004019,b13fb953eb525659,93.39.122.31,biometric,1,1,1,45.59,67,0,legitimate,52,3671.67,606,0,0,1,checking,Esquilino,2019-08-07,2025-01-10,22,Friday,2025-01,2025,0,0,Legitimate,Card Present,Legitimate,50-200
TXN00000010,CUS001792,2025-02-06 17:55:31,9.04,EUR,branch,1,pharmacy,Binance,IT,Roma,DEV0007165,017dc6536f5b3654,93.43.100.214,otp,1,2,1,16.92,316,0,legitimate,57,2865.03,399,0,0,1,savings,Flaminio,2023-04-12,2025-02-06,17,Thursday,2025-02,2025,0,0,Legitimate,Card Present,Legitimate,0-50
TXN00000011,CUS000079,2024-03-24 09:07:01,216.82,EUR,mobile_app,0,travel,Conad Trastevere,IT,Roma,DEV0000315,d75fa4479629a8ad,93.37.138.180,biometric,0,1,3,469.43,642,0,legitimate,73,3258.64,602,0,0,1,checking,Balduina,2022-12-18,2024-03-24,9,Sunday,2024-03,2024,0,0,Legitimate,Card Not Present,Legitimate,200-500
TXN00000012,CUS001832,2024-03-29 04:14:01,205.96,EUR,online,0,clothing,Ristorante Da Mario,IT,Roma,DEV0007327,0cb1ff42638b88ee,93.38.50.206,biometric,1,2,3,951.33,191,0,legitimate,61,2446.68,357,0,0,1,business,Monti,2019-01-12,2024-03-29,4,Friday,2024-03,2024,0,0,Legitimate,Card Not Present,Legitimate,200-500
TXN00000013,CUS001508,2024-02-20 15:10:58,59.14,EUR,mobile_app,0,gas_station,Ristorante Da Mario,IT,Roma,DEV0006029,86f1881c4e8ec8fd,93.37.91.119,3ds,1,0,4,345.28,489,0,legitimate,20,2742.48,480,0,0,1,checking,San Giovanni,2022-04-16,2024-02-20,15,Tuesday,2024-02,2024,0,0,Legitimate,Card Not Present,Legitimate,50-200
TXN00000014,CUS000860,2024-07-07 04:37:08,88.16,EUR,atm,1,insurance,Bar Roma Centro,IT,Roma,DEV0003437,171915a0240181ee,93.33.219.148,none,1,1,4,670.3,754,0,legitimate,21,3704.48,449,0,0,1,checking,Prati,2021-06-11,2024-07-07,4,Sunday,2024-07,2024,0,0,Legitimate,Card Present,Legitimate,50-200
TXN00000015,CUS000909,2025-06-16 20:27:18,73.16,EUR,pos_terminal,1,pharmacy,Cinema The Space,IT,Roma,DEV0003633,e17e2e2ad7fca82c,7.61.110.87,3ds,0,0,3,323.06,268,0,legitimate,34,5325.03,509,0,0,1,checking,Balduina,2020-02-27,2025-06-16,20,Monday,2025-06,2025,0,0,Legitimate,Card Present,Legitimate,50-200
TXN00000016,CUS000644,2024-01-19 03:21:37,43.91,EUR,pos_terminal,1,restaurant,UniCredit ATM,IT,Roma,DEV0002573,1628624b247f5fd9,93.45.26.38,pin,1,2,2,90.58,113,0,legitimate,48,4034.87,815,0,0,1,checking,Monteverde,2021-07-03,2024-01-19,3,Friday,2024-01,2024,0,0,Legitimate,Card Present,Legitimate,0-50
TXN00000017,CUS001747,2024-08-24 11:20:08,28.08,EUR,atm,1,online_shopping,Farmacia Trastevere,IT,Roma,DEV0006985,0d80417cadc06fd4,93.43.27.99,3ds,0,0,3,134.37,511,0,legitimate,51,2398.2,492,0,0,1,checking,Nomentano,2020-04-21,2024-08-24,11,Saturday,2024-08,2024,0,0,Legitimate,Card Present,Legitimate,0-50
TXN00000018,CUS000682,2025-12-18 07:49:14,215.69,EUR,mobile_app,0,insurance,Zara Via del Corso,IT,Roma,DEV0002726,21a600077663620c,88.162.202.39,pin,1,1,0,0.0,605,0,legitimate,23,2173.23,683,0,0,1,checking,Prati,2020-12-17,2025-12-18,7,Thursday,2025-12,2025,0,0,Legitimate,Card Not Present,Legitimate,200-500
TXN00000019,CUS001839,2025-08-31 01:54:03,205.93,EUR,online,0,clothing,Pizzeria Baffetto,IT,Roma,DEV0007355,fd355dce858badbc,93.40.163.113,biometric,1,1,4,645.91,226,0,legitimate,33,1869.23,501,0,0,1,checking,Balduina,2022-03-01,2025-08-31,1,Sunday,2025-08,2025,0,0,Legitimate,Card Not Present,Legitimate,200-500
TXN00000020,CUS001479,2025-06-28 12:35:07,1307.02,EUR,pos_terminal,1,travel,Poste Italiane ATM,IT,Roma,DEV0005913,44f430fef7bd61bc,93.38.196.215,pin,1,0,2,2751.4,315,0,legitimate,49,2372.1,578,0,0,1,business,San Giovanni,2023-05-31,2025-06-28,12,Saturday,2025-06,2025,0,0,Legitimate,Card Present,Legitimate,1K-5K
TXN00000021,CUS001927,2024-01-21 11:08:15,95.79,EUR,online,0,pharmacy,Trenitalia,IT,Roma,DEV0007706,54831341b21eb6b0,93.40.115.25,biometric,1,1,0,0.0,433,0,legitimate,42,7229.47,457,0,0,1,checking,Centocelle,2023-04-08,2024-01-21,11,Sunday,2024-01,2024,0,0,Legitimate,Card Not Present,Legitimate,50-200
TXN00000022,CUS001716,2025-11-09 20:14:16,92.04,EUR,mobile_app,0,pharmacy,Zara Via del Corso,IT,Roma,DEV0006861,18739f630b1d082d,93.38.204.119,pin,1,2,2,137.28,494,0,legitimate,22,2447.78,395,0,0,1,savings,Parioli,2019-05-07,2025-11-09,20,Sunday,2025-11,2025,0,0,Legitimate,Card Not Present,Legitimate,50-200
TXN00000023,CUS000134,2025-05-22 03:22:07,373.71,EUR,pos_terminal,1,online_shopping,Binance,IT,Roma,DEV0000533,c7f823f0f192c4a7,93.44.158.92,pin,1,1,2,1034.3,630,0,legitimate,42,5704.95,315,0,0,1,savings,Esquilino,2020-01-12,2025-05-22,3,Thursday,2025-05,2025,0,0,Legitimate,Card Present,Legitimate,200-500
TXN00000024,CUS001493,2024-11-13 18:28:41,1687.36,EUR,pos_terminal,1,electronics,Esselunga Parioli,IT,Roma,DEV0005969,3497605f8dcfa475,93.41.227.13,none,1,0,12,10926.06,222,0,legitimate,52,3738.57,385,0,0,1,business,Flaminio,2022-11-08,2024-11-13,18,Wednesday,2024-11,2024,0,0,Legitimate,Card Present,Legitimate,1K-5K
TXN00000025,CUS000909,2024-07-21 14:50:57,25.54,EUR,pos_terminal,1,grocery,Amazon.it,IT,Roma,DEV0003635,d2cd6e6ef42da4a2,93.48.165.130,3ds,1,1,5,247.05,755,0,legitimate,34,5325.03,509,0,0,1,checking,Balduina,2020-02-27,2024-07-21,14,Sunday,2024-07,2024,0,0,Legitimate,Card Present,Legitimate,0-50
TXN00000026,CUS000407,2025-06-27 17:46:26,291.79,EUR,online,0,clothing,Poste Italiane ATM,IT,Roma,DEV0001626,fb0a03e11f3e566c,93.49.89.6,otp,1,1,2,372.79,163,0,legitimate,60,2120.75,302,0,0,1,checking,Monti,2021-09-02,2025-06-27,17,Friday,2025-06,2025,0,0,Legitimate,Card Not Present,Legitimate,200-500
